Marca temporal,edad,genero,escolaridad,trabajo,compartesdom,mayor60,salud,vacuna,contagio,porbcontagio,fallecido,medidas,preosoc,estres,eventos,deporte,estadios,veiled2,directreport2,sensitive2
2021/11/27 9:26:29 p. m. GMT-6,24,Mujer,Licenciatura,Si,4 o mas,No,Buena,Si,No,2,No,5,3,4,No,Si,No estoy de acuerdo,2,3,No
2021/11/27 9:33:40 p. m. GMT-6,32,Hombre,Posgrado,Si,1,No,Muy buena,Si,Si,3,Si,5,1,1,Si,Si,Indiferente,3,0,Si
2021/11/27 9:35:35 p. m. GMT-6,39,Mujer,Posgrado,No,1,No,Ni mala ni buena,Si,No,4,Si,4,4,4,Si,No,No estoy de acuerdo,4,3,Si
2021/11/27 9:41:19 p. m. GMT-6,29,Hombre,Licenciatura,No,4 o mas,Si,Ni mala ni buena,Si,No,3,Si,4,4,3,No,Si,Estoy de acuerdo,5,4,Si
2021/11/27 9:46:26 p. m. GMT-6,58,Mujer,Posgrado,No,4 o mas,Si,Buena,Si,Si,1,Si,5,3,3,Si,No,No estoy de acuerdo,5,3,Si
2021/11/27 9:54:21 p. m. GMT-6,49,Hombre,Posgrado,Si,4 o mas,No,Muy buena,Si,No,3,No,4,3,3,Si,Si,Indiferente,4,2,Si
2021/11/27 9:59:09 p. m. GMT-6,24,Mujer,Licenciatura,Si,1,No,Buena,Si,Si,3,Si,3,2,2,No,No,Indiferente,4,4,Si
2021/11/27 10:37:18 p. m. GMT-6,39,Hombre,Licenciatura,Si,2,No,Buena,Si,No,3,Si,5,4,5,No,Si,No estoy de acuerdo,1,3,No
2021/11/27 10:38:39 p. m. GMT-6,37,Hombre,Posgrado,Si,3,Si,Buena,Si,Si,2,No,5,1,3,No,No,No estoy de acuerdo,3,2,No
2021/11/27 11:00:55 p. m. GMT-6,56,Mujer,Preparatoria,Si,1,No,Ni mala ni buena,Si,No,5,Si,3,5,5,No,Si,No estoy de acuerdo,5,3,No
2021/11/27 11:38:05 p. m. GMT-6,40,Mujer,Posgrado,Si,4 o mas,Si,Ni mala ni buena,Si,No,2,Si,4,5,5,No,No,No estoy de acuerdo,3,2,No
2021/11/28 1:33:28 a. m. GMT-6,35,Hombre,Licenciatura,No,2,Si,Buena,Si,Si,2,No,5,4,3,Si,Si,No estoy de acuerdo,2,2,Si
2021/11/28 4:57:24 a. m. GMT-6,33,Mujer,Posgrado,No,1,No,Buena,Si,Si,4,No,3,2,1,Si,Si,Indiferente,1,1,No
2021/11/28 5:47:55 a. m. GMT-6,32,Mujer,Posgrado,Si,1,No,Buena,Si,Si,2,No,3,3,4,Si,No,No estoy de acuerdo,2,3,Si
2021/11/28 8:02:17 a. m. GMT-6,41,Hombre,Licenciatura,Si,4 o mas,No,Buena,Si,Si,2,Si,4,1,3,Si,Si,Estoy de acuerdo,3,3,Si
2021/11/28 8:35:48 a. m. GMT-6,30,Hombre,Licenciatura,No,4 o mas,Si,Muy buena,No me he vacunado,Si,4,Si,3,4,5,Si,No,No estoy de acuerdo,1,4,Si
2021/11/28 9:55:31 a. m. GMT-6,64,Hombre,Posgrado,Si,1,Si,Muy buena,Si,No,1,Si,5,3,1,No,Si,No estoy de acuerdo,4,1,No
2021/11/28 10:03:20 a. m. GMT-6,59,Mujer,Licenciatura,Si,1,No,Buena,Si,Si,3,Si,5,4,5,Si,No,No estoy de acuerdo,3,2,No
2021/11/28 10:19:15 a. m. GMT-6,60,Mujer,Posgrado,No,1,No,Muy buena,Si,Si,3,Si,4,2,2,No,Si,Estoy de acuerdo,4,2,Si
2021/11/28 10:43:14 a. m. GMT-6,33,Hombre,Licenciatura,Si,3,Si,Buena,Si,No,3,No,2,4,2,No,Si,Indiferente,2,2,Si
2021/11/28 11:55:21 a. m. GMT-6,38,Hombre,Posgrado,Si,1,No,Buena,Si,Si,3,Si,4,4,4,Si,Si,No estoy de acuerdo,1,4,No
2021/11/28 2:00:20 p. m. GMT-6,58,Hombre,Posgrado,Si,4 o mas,No,Ni mala ni buena,Si,No,3,Si,4,3,5,Si,Si,Estoy de acuerdo,5,3,Si
2021/11/28 2:25:17 p. m. GMT-6,36,Hombre,Licenciatura,Si,3,Si,Buena,Si,Si,3,Si,3,2,2,Si,No,Indiferente,2,3,Si
2021/11/28 2:31:25 p. m. GMT-6,54,Mujer,Licenciatura,Si,2,Si,Buena,Si,No,2,No,5,3,1,No,Si,No estoy de acuerdo,4,3,Si
2021/11/28 2:34:35 p. m. GMT-6,34,Hombre,Posgrado,Si,2,Si,Buena,Si,No,3,No,4,2,2,Si,No,Estoy de acuerdo,2,2,Si
2021/11/28 2:44:40 p. m. GMT-6,62,Hombre,Licenciatura,Si,3,No,Buena,Si,Si,3,Si,5,5,5,Si,Si,No estoy de acuerdo,3,3,No
2021/11/28 3:08:39 p. m. GMT-6,46,Mujer,Licenciatura,No,2,No,Buena,Si,No,2,Si,5,5,4,No,Si,No estoy de acuerdo,5,4,No
2021/11/28 3:10:18 p. m. GMT-6,79,Hombre,Licenciatura,No,1,Si,Buena,Si,No,3,Si,5,2,1,No,Si,Indiferente,5,1,No
2021/11/28 7:43:25 p. m. GMT-6,33,Mujer,Posgrado,No,2,No,Buena,No,No,3,Si,4,3,3,Si,No,No estoy de acuerdo,3,2,No
2021/11/28 8:17:24 p. m. GMT-6,32,Mujer,Posgrado,Si,1,Si,Buena,Si,No,1,Si,5,3,4,No,No,No estoy de acuerdo,1,3,No
2021/11/28 8:18:33 p. m. GMT-6,33,Hombre,Posgrado,Si,1,No,Buena,Si,No,3,No,4,5,5,No,Si,No estoy de acuerdo,1,1,Si
2021/11/28 8:19:42 p. m. GMT-6,37,Mujer,Posgrado,Si,3,Si,Ni mala ni buena,Si,No,3,No,3,4,4,Si,No,No estoy de acuerdo,4,3,Si
2021/11/28 8:30:49 p. m. GMT-6,34,Hombre,Posgrado,Si,1,No,Muy buena,Si,Si,2,No,4,3,4,Si,Si,No estoy de acuerdo,2,4,No
2021/11/28 8:50:44 p. m. GMT-6,32,Mujer,Licenciatura,No,2,No,Ni mala ni buena,Si,Si,3,Si,3,5,5,Si,No,Indiferente,2,2,No
2021/11/28 9:00:04 p. m. GMT-6,37,Mujer,Licenciatura,No,2,Si,Muy buena,Si,No,2,No,5,3,4,Si,Si,Indiferente,3,3,No
2021/11/28 9:20:06 p. m. GMT-6,40,Mujer,Licenciatura,Si,2,No,Buena,Si,No,3,No,4,1,3,No,No,No estoy de acuerdo,3,2,No
2021/11/28 9:22:34 p. m. GMT-6,23,Hombre,Preparatoria,Si,4 o mas,No,Buena,Si,Si,3,No,3,3,1,Si,Si,Estoy de acuerdo,1,4,Si
2021/11/28 9:31:08 p. m. GMT-6,33,Hombre,Posgrado,No,4 o mas,Si,Buena,Si,No,2,No,5,3,5,No,No,No estoy de acuerdo,2,3,No
2021/11/28 10:11:04 p. m. GMT-6,42,Hombre,Licenciatura,No,1,No,Buena,Si,No,1,No,3,3,3,No,No,Estoy de acuerdo,4,3,No
2021/11/28 10:19:00 p. m. GMT-6,55,Hombre,Posgrado,Si,1,No,Buena,Si,No,2,No,5,4,5,Si,No,No estoy de acuerdo,4,3,Si
2021/11/28 10:29:09 p. m. GMT-6,37,Hombre,Posgrado,No,0,No,Buena,Si,No,2,No,5,3,5,Si,Si,Estoy de acuerdo,3,4,No
2021/11/28 10:41:27 p. m. GMT-6,45,Hombre,Posgrado,Si,0,No,Ni mala ni buena,Si,Si,2,Si,4,5,5,Si,No,Estoy de acuerdo,3,3,Si
2021/11/28 10:44:51 p. m. GMT-6,32,Hombre,Posgrado,Si,0,No,Buena,Si,No,4,Si,4,4,4,Si,No,No estoy de acuerdo,3,3,No
2021/11/28 10:50:44 p. m. GMT-6,32,Mujer,Licenciatura,Si,4 o mas,Si,Buena,Si,No,2,No,3,4,4,No,No,No estoy de acuerdo,4,3,Si
2021/11/28 10:52:25 p. m. GMT-6,39,Hombre,Posgrado,Si,0,No,Buena,Si,Si,4,No,3,2,4,Si,Si,Estoy de acuerdo,3,3,Si
2021/11/28 11:43:33 p. m. GMT-6,24,Hombre,Licenciatura,No,2,No,Ni mala ni buena,Si,Si,3,Si,4,5,4,Si,No,Indiferente,2,2,No
